airport,boarding
ATL,"51,866,464"
LAX,"42,626,783"
ORD,"39,874,879"
DFW,"32,800,721"
DEN,"31,363,573"
JFK,"30,541,459"
SFO,"27,794,154"
SEA,"24,894,338"
LAS,"23,655,285"
MCO,"23,184,634"
EWR,"22,798,354"
CLT,"22,283,574"
PHX,"21,623,842"
IAH,"21,157,948"
MIA,"21,025,210"
BOS,"20,010,262"
MSP,"18,363,493"
FLL,"17,613,957"
DTW,"17,437,716"
PHL,"15,285,948"
LGA,"15,059,648"
BWI,"13,373,773"
SLC,"12,228,677"
SAN,"12,176,303"
IAD,"11,628,309"
DCA,"11,367,176"
MDW,"10,685,565"
TPA,"10,369,622"
PDX,"9,805,535"
HNL,"9,578,505"
DAL,"8,134,848"
BNA,"8,007,049"
AUS,"7,921,797"
STL,"7,822,274"
SJC,"7,140,616"
HOU,"6,937,061"
OAK,"6,798,321"
MSY,"6,565,482"
RDU,"6,416,822"
SMF,"6,031,630"
MCI,"5,935,131"
SNA,"5,317,149"
SAT,"5,028,785"
CLE,"4,836,580"
RSW,"4,719,468"
IND,"4,695,040"
PIT,"4,327,431"
SJU,"4,163,587"
CVG,"3,926,158"
CMH,"4,054,572"